"","room","batch","round","condition","results.condition","results.format","n","mean","median","prop","groupID","fracture"
"136","C",1535046705869,1,"A","treatment","c(1, 2, 1)",2,65,65,0,0.238191718701273,0
"137","C",1535046705869,3,"Ap","treatment","c(1, 2, 1)",2,66.5,66.5,0,0.0816797195002437,0
"138","C",1535053364227,2,"B","baseline","1:3",2,62.5,62.5,0,0.0463068191893399,0
"139","C",1535053364227,3,"C","baseline","1:3",2,37,37,0.5,0.779819813091308,1
"140","C",1535151954966,1,"B","control","c(2, 1, 1)",2,48.5,48.5,0,0.161446325480938,0
"141","C",1535391659879,1,"A","baseline","1:3",2,54,54,0,1.4338123225607,0
"142","C",1535391659879,3,"C","baseline","1:3",2,58,58,0,1.60450580716133,0
"143","C",1535399280044,3,"C","baseline","1:3",2,58.5,58.5,0.5,1.39001713693142,1
"144","C",1535400139560,1,"A","baseline","1:3",2,37.5,37.5,0.5,0.870600331109017,1
"145","C",1535414573971,1,"A","baseline","1:3",2,59,59,0,1.82911062659696,0
"146","C",1535414573971,3,"C","baseline","1:3",2,63,63,0.5,1.55432851612568,1
"147","C",1535465389122,1,"A","treatment","c(1, 1, 2)",2,40.5,40.5,0.5,1.43428778462112,1
"148","C",1535465389122,2,"Ap","treatment","c(1, 1, 2)",2,51,51,0.5,1.32635237881914,1
"149","C",1535465389122,3,"B","treatment","c(1, 1, 2)",2,70,70,0,1.40618400136009,0
"150","C",1535467359000,2,"B","baseline","1:3",2,47,47,1,1.19615642912686,1
"151","C",1535467359000,3,"C","baseline","1:3",2,32.5,32.5,1,1.53434104379267,1
"152","C",1535469595211,1,"B","treatment","c(2, 1, 1)",2,41,41,0.5,0.472751863766462,1
"153","C",1535483304119,3,"B","control","c(1, 1, 2)",2,28,28,1,1.4740824806504,1
"154","C",1535485838343,3,"B","treatment","c(1, 1, 2)",2,55.5,55.5,0,1.33483114931732,0
"155","C",1535487963026,3,"B","treatment","c(1, 1, 2)",2,63,63,0,0.938730227295309,0
"156","C",1535497021009,1,"A","treatment","c(1, 2, 1)",2,53,53,0,0.187508485279977,0
"157","C",1535497021009,2,"B","treatment","c(1, 2, 1)",2,56,56,0,1.50814670231193,0
"158","C",1535497021009,3,"Ap","treatment","c(1, 2, 1)",2,50.5,50.5,0.5,0.73265581112355,1
"159","C",1535499714883,3,"C","baseline","1:3",2,49,49,0,0.406477400101721,0
"160","C",1535506770832,1,"A","treatment","c(1, 1, 2)",2,45,45,0.5,0.18712708959356,1
"161","C",1535506770832,2,"Ap","treatment","c(1, 1, 2)",2,41.5,41.5,0.5,0.126897075679153,1
"162","C",1535506770832,3,"B","treatment","c(1, 1, 2)",2,68,68,0,0.33352807443589,0
"163","C",1535567328002,1,"A","baseline","1:3",2,54,54,0,1.87131046270952,0
"164","C",1535567328002,3,"C","baseline","1:3",2,59.5,59.5,0,0.885017950553447,0
"165","C",1535570157353,3,"B","control","c(1, 1, 2)",2,47.5,47.5,0.5,0.936842176131904,1
"166","C",1535575374559,1,"A","baseline","1:3",2,61.5,61.5,0,0.0913071404211223,0
"167","C",1535575374559,3,"C","baseline","1:3",2,69,69,0,1.72978397645056,0
"168","C",1535576148516,2,"A","control","c(2, 1, 1)",2,53,53,0.5,0.564196906518191,1
"169","C",1535576148516,3,"Ap","control","c(2, 1, 1)",2,56,56,0.5,1.73037417745218,1
"170","C",1535579642917,2,"A","control","c(2, 1, 1)",2,43,43,0.5,1.56471075071022,1
"171","C",1535579642917,3,"Ap","control","c(2, 1, 1)",2,46.5,46.5,0.5,0.91013898793608,1
"172","C",1535583912307,2,"B","baseline","1:3",2,51.5,51.5,0.5,0.863128159660846,1
"173","C",1535583912307,3,"C","baseline","1:3",2,36.5,36.5,1,1.34106439445168,1
"174","C",1535587309558,2,"B","baseline","1:3",2,50,50,0.5,1.76348634576425,1
"175","C",1535587845707,1,"A","baseline","1:3",2,32,32,1,0.440409773495048,1
"176","C",1535587845707,3,"C","baseline","1:3",2,66,66,0,1.53441980807111,0
"177","C",1535590236737,1,"A","baseline","1:3",2,64,64,0,0.771925008390099,0
"178","C",1535590236737,2,"B","baseline","1:3",2,39,39,0.5,0.557146218139678,1
"179","C",1535590236737,3,"C","baseline","1:3",2,70,70,0,0.155231024138629,0
"180","C",1535641262001,1,"A","baseline","1:3",2,31.5,31.5,1,1.00060972571373,1
"181","C",1535641262001,3,"C","baseline","1:3",2,56,56,0,1.97320322645828,0
