"","room","batch","round","condition","team","task","n","teamMeanViability","teamMedianViability","groupManipulationCheck","teamProportionFracture","teamMembers","viabilityZ","teamFracture","fracture"
"465","D",1553951462177,1,"unmasked","B","cognative-conflic",3,50.3333333333333,49,0.666666666666667,0.333333333333333,"8YABrXwNUlWHMaR6AAAN, l6phBuliOgULvYYSAAAX, Mftzan22Fk1TtYo_AAAB",-0.615666709549167,FALSE,0
"466","D",1553951462177,2,"unmasked","A","cognative-conflic",4,59.75,58.5,0.75,0.5,"Kzqp4HwP_v2zXMeQAAAe, Mftzan22Fk1TtYo_AAAB, twEoIuQG8orudizdAAAF, zcsnuU51Ynk1MVx7AAAA",0.484275168554513,TRUE,1
"467","D",1553951462177,3,"unmasked","B","cognative-conflic",3,53,63,0.666666666666667,0.333333333333333,"10lDxPxO46B2fZxxAAAh, l6phBuliOgULvYYSAAAX, zcsnuU51Ynk1MVx7AAAA",-0.304178744068479,FALSE,0
"468","D",1553951462177,4,"unmasked","Ap","cognative-conflic",4,63.25,62,0.75,0,"Kzqp4HwP_v2zXMeQAAAe, Mftzan22Fk1TtYo_AAAB, twEoIuQG8orudizdAAAF, zcsnuU51Ynk1MVx7AAAA",0.893103123247917,FALSE,0
"469","D",1553952662190,1,"unmasked","A","cognative-conflic",3,55.3333333333333,55,0.666666666666667,0.333333333333333,"MF9poe-PHPSciU6aAAAR, NbTvUa0768pW-mADAAAw, SbWaB-7JOO9MoFr7AAAP",-0.0316267742728763,FALSE,0
"470","D",1553952662190,3,"unmasked","Ap","cognative-conflic",3,46.3333333333333,50,0.666666666666667,0.333333333333333,"MF9poe-PHPSciU6aAAAR, NbTvUa0768pW-mADAAAw, SbWaB-7JOO9MoFr7AAAP",-1.0828986577702,FALSE,0
"471","D",1553956261360,1,"masked","A","cognative-conflic",3,32.3333333333333,33,0.333333333333333,0.333333333333333,"BP0nnLEbHEn0OHe7AAAd, nfOcnbbAgMiPgQL2AAAs, SWhcXtH7S8dLs7stAAAo",-2.71821047654381,FALSE,0
"472","D",1553956261360,2,"masked","B","cognative-conflic",3,60.6666666666667,56,0,0,"-mA7lo18GmHKPI4aAAAq, 0YjFhfLxVTdD9GaFAAAa, BP0nnLEbHEn0OHe7AAAd",0.5913491566885,FALSE,0
"473","D",1553956261360,3,"masked","Ap","cognative-conflic",3,65,69,0.333333333333333,0.333333333333333,"BP0nnLEbHEn0OHe7AAAd, nfOcnbbAgMiPgQL2AAAs, SWhcXtH7S8dLs7stAAAo",1.09751710059462,FALSE,0
"474","D",1553962862223,2,"masked","B","creative",3,59.3333333333333,60,0,0,"A4Guj2Uq9hlHGkcZAAAh, TpJnuLxsaqLveSSqAAAL, v6r5Pf59XPoVvJ7NAAAs",0.435605173948156,FALSE,0
"475","D",1553963462236,2,"unmasked","A","creative",3,63.6666666666667,65,0.666666666666667,0,"D0t05Q4XDdaVqX03AAAn, v-cwizpDOxDJtf7aAAA3, ylx6aZ3mJVERLE2KAAAv",0.941773117854274,FALSE,0
"476","D",1553963462236,4,"unmasked","Ap","creative",3,65.3333333333333,66,0.666666666666667,0,"D0t05Q4XDdaVqX03AAAn, v-cwizpDOxDJtf7aAAA3, ylx6aZ3mJVERLE2KAAAv",1.1364530962797,FALSE,0
"477","D",1553965262291,2,"masked","B","creative",3,55.6666666666667,55,0,0.333333333333333,"5ftQlhSwkNY6YcUmAABC, ETRQ83igJn2BGgAyAAAX, OTQ6gyIBri6YMjR8AAAg",0.00730922141220915,FALSE,0
"478","D",1553965861830,2,"unmasked","B","cognative-conflic",3,61.6666666666667,62,0.333333333333333,0,"nXF69s1tENutPCGRAAA2, wXPCHT7WinjoPcTiAAA5, Y8HHaXgv3Sqw28SaAAAu",0.708157143743758,FALSE,0
