team,kosmos,projka,watch,c1,c2,c3,r1,r2,r3,Control,Treatment,Baseline,,,condition,Base-ratio-1,Base-ratio-2,Base-ratio-3,A-ratio-1,A-ratio-2,A-ratio-3
Baseline 2,"Gorgeous pen, simple design",Pouches you can count on,Handsome watches,27,24,16,23,128,199,,,199,1.20208635822823,1.20208635822823,b,0.403508771929825,0.333333333333333,0.359205776173285,0.0356589147286822,0.147806004618938,0.3109375
Baseline 3,Magnetic lid for beautiful pen,"Simple pouches, great life",Titanium & Ceramic watch,30,26,24,179,67,55,,,55,-1.20731320144293,1.20731320144293,b,0.748953974895398,0.266932270916335,0.0603732162458836,0.259420289855072,0.411042944785276,0.0943396226415094
Baseline 1,Simple a pen for good life,More pouch than you need ,This is what you need!,26,25,22,112,163,239,,,239,0.691279792736282,0.691279792736282,b,0.134939759036145,0.259554140127389,0.529933481152993,0.615384615384615,0.862433862433862,0.35459940652819
Baseline 2,A pen to make you cool again!,Amazing pouches,A watch to make you look good,29,15,29,146,128,190,,,190,0.0415905379657731,0.0415905379657731,b,0.163493840985442,0.318407960199005,0.212053571428571,0.283495145631068,0.202852614896989,0.199579831932773
Baseline 3,"One pen, one material, win",A pouch for you and friends,Titanium & Ceramic on your wri,26,27,30,92,191,111,,,111,-0.0354966413357645,0.0354966413357645,b,0.11901681759379,0.931707317073171,0.214700193423598,0.0932117527862209,0.348540145985401,0.528571428571429
Baseline 1,Snap together to write your st,Nice pouches for your stuff,Simple beautiful watch,30,27,22,195,151,67,,,67,-1.26513778194015,1.26513778194015,b,0.448275862068966,0.205163043478261,0.127862595419847,0.703971119133574,0.257679180887372,0.0697190426638918
Baseline 2,A minimalist fountain pen,You need this now.,Lovely watch for everyday,25,18,25,168,54,93,,,93,-0.840511071060574,0.840511071060574,b,0.617647058823529,0.125,0.12015503875969,0.374164810690423,0.10246679316888,0.145085803432137
Baseline 3,Beautiful quality pen,"Simple, useful, pouches",Strong and light watches,21,23,24,78,14,2,,,2,-0.681423409770758,0.681423409770758,b,0.20911528150134,0.0162224797219003,0.00418410041841004,0.121875,0.0143295803480041,0.00803212851405622
Baseline 1,The sleek pen you need.,The perfect product,The watch you need and want,23,19,27,32,109,223,,,223,1.29153999634203,1.29153999634203,b,0.032064128256513,0.547738693467337,0.231088082901554,0.039360393603936,0.124856815578465,0.561712846347607
Baseline 2,Aluminimum KOSMOS Fountain Pen,Store your things safely,Ceramic watches last forever,30,24,28,33,178,167,,,167,0.886629554639619,0.886629554639619,b,0.142857142857143,0.196685082872928,0.359913793103448,0.104761904761905,0.288961038961039,0.592198581560284
Baseline 3,A pen that opens up writing.,Beautiful simple pouch,Titanium and perfect,28,22,20,97,139,2,,,2,-0.850856156860181,0.850856156860181,b,0.274011299435028,0.252727272727273,0.00634920634920635,0.0977822580645161,0.315192743764172,0.00319488817891374
Treatment,,,,26.3055555555556,23.4166666666667,24.75,112.138888888889,98,141.416666666667,119.083333333333,170.75,134.416666666667,0.254737228076941,0.535668373380059,t,0.223080340955117,0.184654436748853,0.404326254120611,0.243176620247983,0.260300219952797,0.361417570573688
Control,,,,,,,,,,0.842074248674131,1.20742486741308,0.950500883912787,-0.270385498663001,0.733973269356274,c,0.328229569211246,0.252937449090385,0.267544208463018,0.230984283136052,0.146543914730568,0.270508186854729
Baseline,,,,,,,,,,,,,0.0156482705860595,0.829104647654453,b,0.324980524193691,0.316179413053532,0.221568799277017,0.241658234024036,0.275210547691603,0.266636305091392
,,,,,,,,,,,,,,,,,,,,,
